period,pct_4h_type1,pct_4h_all,total_under4h,total_over4h
2010-11-01,0.9587522248826401,0.9718742234272824,1604590.9999999998,46436.42857142858
2010-12-01,0.9236758183911199,0.9482562255696805,1647823.8571428575,89917.28571428568
2011-01-01,0.9365166197901417,0.9578137375122752,1654907.4285714286,72889.28571428572
2011-02-01,0.9560386119754065,0.9706490472820088,1552421.1428571437,46942.857142857174
2011-03-01,0.9525537879199502,0.9682454586511114,1804268.2857142857,59172.7142857143
2011-04-01,0.9529780422120953,0.9688892651509331,1786994.9999999995,57379.85714285712
2011-05-01,0.9561202935705322,0.9707500823811406,1818889.7142857153,54805.42857142857
2011-06-01,0.9564789055264677,0.9710422237426529,1733715.5714285723,51701.714285714275
2011-07-01,0.9638074418744008,0.9759322225010487,1820073.9999999993,44885.42857142856
2011-08-01,0.9608779703695691,0.9743607536607123,1713031.714285714,45076.57142857146
2011-09-01,0.9531277197295636,0.9689018078715967,1725818.1428571432,55392.4285714286
2011-10-01,0.9487957996205809,0.9662219187233391,1786459.714285714,62452.71428571427
2011-11-01,0.948733346793013,0.9660442920583169,1682309.0000000002,59131.857142857145
2011-12-01,0.9370703813986432,0.9579503050108951,1659213.8571428566,72831.99999999994
2012-01-01,0.9357731661989988,0.9575563698168471,1663771.4285714286,73746.57142857142
2012-02-01,0.9248232905913979,0.9498735165288557,1618804.5714285714,85427.14285714283
2012-03-01,0.9479762431494114,0.9653690085847916,1866205.8571428568,66946.99999999999
2012-04-01,0.944792478001689,0.9635150322568717,1704962.2857142854,64561.00000000002
2012-05-01,0.9517304992066119,0.9681168858235139,1868049.7142857139,61520.71428571427
2012-06-01,0.9505831372397742,0.9674552695826655,1826402.0,61439.28571428572
2012-07-01,0.955712286162367,0.9706765972397023,1868089.7142857155,56433.571428571435
2012-08-01,0.9551197748138293,0.9704049923830884,1790535.2857142854,54606.99999999998
2012-09-01,0.9505464310285778,0.9669497092361029,1729380.7142857139,59110.14285714287
2012-10-01,0.9440275147705561,0.9624143057960586,1763435.8571428577,68868.42857142854
2012-11-01,0.940847958180659,0.9601195713061415,1685590.8571428573,70014.28571428572
2012-12-01,0.9202034520632209,0.9466718570282197,1725238.9999999998,97186.57142857139
2013-01-01,0.918652206647898,0.945438564951748,1638556.9999999998,94561.42857142857
2013-02-01,0.9143979416976676,0.9429189535023059,1554636.1428571425,94112.28571428572
2013-03-01,0.9025191139848835,0.935126251293603,1744089.142857143,120995.00000000003
2013-04-01,0.9009872255416731,0.9344106288148083,1711298.7142857139,120121.71428571429
2013-05-01,0.9483190044134499,0.9657322493228206,1826847.0000000012,64823.28571428571
2013-06-01,0.9536045888784019,0.9692305387721895,1774696.285714285,56339.99999999998
2013-07-01,0.9498498589874897,0.9668121823140081,1910700.1428571427,65588.71428571429
2013-08-01,0.9433800449103594,0.9628401217062407,1772194.9999999998,68396.14285714286
2013-09-01,0.9363619048654246,0.9578551132313796,1694205.0,74543.7142857143
2013-10-01,0.9348361666315259,0.9566804791970642,1750179.2857142847,79249.99999999997
2013-11-01,0.9387722392815958,0.959157732719514,1662255.428571429,70781.14285714284
2013-12-01,0.929126831802428,0.9528350666703863,1697979.857142857,84049.28571428568
2014-01-01,0.9273085179624524,0.9517138039539543,1655543.142857143,83995.71428571429
2014-02-01,0.9189449094361459,0.9463831314842529,1572713.142857142,89101.28571428571
2014-03-01,0.9336849555139948,0.9561503485851723,1871512.1428571444,85828.71428571429
2014-04-01,0.9279215908781775,0.9526238021761096,1788718.7142857139,88957.14285714283
2014-05-01,0.9218873525023826,0.9483375906990792,1875838.7142857139,102189.71428571426
2014-06-01,0.9282507109485283,0.9521880017146376,1849404.2857142847,92863.71428571428
2014-07-01,0.927437884940962,0.95171021773912,1897358.8571428566,96272.0
2014-08-01,0.9265045069590372,0.95109270609543,1728430.2857142852,88879.71428571426
2014-09-01,0.9197378161235508,0.946122870577353,1753436.0000000002,99849.71428571433
2014-10-01,0.906293471030474,0.9371275747515327,1773395.8571428573,118978.1428571429
2014-11-01,0.9023953518548913,0.9345895981510349,1710729.1428571437,119731.14285714291
2014-12-01,0.8477827025364353,0.8989310587320714,1709071.9999999993,192155.00000000006
2015-01-01,0.8654843756890798,0.9115759213867428,1578910.571428571,153156.42857142855
2015-02-01,0.8776183166978835,0.9197098565468957,1521978.571428571,132867.85714285716
2015-03-01,0.8891901315108991,0.9273307266669994,1801773.0000000005,141194.0000000001
2015-04-01,0.8979896687578487,0.9328414189744585,1747368.428571429,125799.28571428564
2015-05-01,0.9142364136859145,0.943078089660722,1827184.4285714286,110284.428571429
2015-06-01,0.9226208821073748,0.9480308014455772,1811885.0,99323.9999999999
2015-07-01,0.9251582551003796,0.9500869222359625,1855420.0,97475.0
2015-08-01,0.9141357398180332,0.9429131019189454,1758664.0,106475.0
2015-09-01,0.9015794118176743,0.93381054302226,1736868.0,123111.0
2015-10-01,0.885719382112661,0.9232731599057359,1775554.0,147554.0
2015-11-01,0.8701821734959484,0.9127793473070346,1710763.0,163472.0
2015-12-01,0.8655785038504743,0.9097240813599108,1699048.0,168604.0
2016-01-01,0.8302926788292847,0.8865783822128169,1690634.42857143,216286.0
2016-02-01,0.8160578214207155,0.8775476059132681,1641695.0,229081.0
2016-03-01,0.8084388535612013,0.872657604381781,1821719.0,265834.0
2016-04-01,0.8497599371363947,0.9003512724457525,1681659.0,186122.0
2016-05-01,0.854345162525144,0.9027555860390081,1869011.0,201329.0
2016-06-01,0.8584521313466911,0.9055994429248081,1773890.0,184912.0
2016-07-01,0.8537078945560213,0.9028524786030435,1877061.0,201973.0
2016-08-01,0.863578858756783,0.909763097023593,1758482.0,174419.0
2016-09-01,0.860017940196215,0.9064786853944554,1769867.0,182597.0
2016-10-01,0.8371214909860645,0.8905308979446662,1782679.0,219137.0
2016-11-01,0.8266371537229624,0.8837903610883545,1686158.0,221713.0
2016-12-01,0.7933050042556257,0.8617594559611471,1675749.0,268818.0
2017-01-01,0.7760781197839921,0.851413411900772,1613660.0,281612.0
2017-02-01,0.8115929565239749,0.8753090395991286,1519203.0,216416.0
2017-03-01,0.8506109551151693,0.9000949482943537,1814442.0,201392.0
2017-04-01,0.8569268183351771,0.9051525263083392,1764832.0,184930.0
2017-05-01,0.8461935267428042,0.8970035160821932,1853917.0,212872.0
2017-06-01,0.8610053227869721,0.9072518525056468,1809111.0,184945.0
2017-07-01,0.8553744194185584,0.9034781074127363,1873763.0,200181.0
2017-08-01,0.8543808762150311,0.9029923680145563,1737956.0,186707.0
2017-09-01,0.8457107322480116,0.8966609396555797,1726934.0,199027.0
2017-10-01,0.8482369977309274,0.8994186788850258,1838535.0,205602.0
2017-11-01,0.8303964465607261,0.8876655246839736,1754889.0,222082.0
2017-12-01,0.7729040382696165,0.8498503458662225,1703061.0,300893.0
2018-01-01,0.7716507057133265,0.8529918213516818,1706057.0,294029.0
2018-02-01,0.7690832354394199,0.8504476893558943,1547825.0,272187.0
2018-03-01,0.7640391261397943,0.8462121637147311,1734553.0,315232.0
2018-04-01,0.8226931803958445,0.8857248828216929,1757605.0,226764.0
2018-05-01,0.8512952208995129,0.9039011151983545,1956456.0,208002.0
2018-06-01,0.8562849964683078,0.9076297242234981,1900524.0,193418.0
2018-07-01,0.8345422184866813,0.8931949047110505,1947072.0,232824.0
2018-08-01,0.8397076232052728,0.8972702710007838,1792615.0,205239.0
2018-09-01,0.8296335636299453,0.8894368286304747,1783939.0,221756.0
2018-10-01,0.8311669717097767,0.8900933497219513,1850942.0,228550.0
2018-11-01,0.8116003870217482,0.8760446687116353,1785245.0,252602.0
2018-12-01,0.7934469415057379,0.8644632183941728,1770004.0,277514.0
2019-01-01,0.7606448896644783,0.843525141560121,1782717.0,330696.0
2019-02-01,0.7575782125982721,0.8422525009629417,1646559.0,308388.0
2019-03-01,0.7949421038103915,0.8660931161481321,1877301.0,290250.0
2019-04-01,0.7714042041590743,0.8512516777808552,1797984.0,314181.0
2019-05-01,0.7908133008359418,0.8663106936105853,1694301.0,261465.0
2019-06-01,0.7879605729335543,0.8636920723462779,1638461.0,258582.0
2019-07-01,0.7892795458874745,0.8649112458819785,1763996.0,275515.0
2019-08-01,0.7833338446539723,0.8629276500280426,1653995.0,262730.0
2019-09-01,0.7700109003559438,0.852436214064934,1630176.0,282197.0
2019-10-01,0.7446165021242127,0.836351977352883,1635544.0,320025.0
2019-11-01,0.7132654779871929,0.8144121221229261,1571567.0,358128.0
2019-12-01,0.6863394876217499,0.7980703954007523,1565862.0,396198.0
2020-01-01,0.7116748418495624,0.816828082271278,1555315.0,348776.0
2020-02-01,0.7297012427382219,0.8278686306369899,1468379.0,305307.0
2020-03-01,0.7633701746026799,0.8427721577463726,1162096.0,216801.0
2020-04-01,0.8727678828419125,0.904434409727913,739471.0,78135.0
2020-05-01,0.9115850471565272,0.9350872425820419,1049584.0,72861.0
2020-06-01,0.9002326505642111,0.9277690098945253,1165135.0,90711.0
2020-07-01,0.8872683210507439,0.9199074620723886,1301061.0,113278.0
2020-08-01,0.8432366078514937,0.8917074531930195,1367700.0,166099.0
2020-09-01,0.8163077189908866,0.8729565605006236,1319940.0,192094.0
2020-10-01,0.7758909541002634,0.8442802394821414,1198227.0,221002.0
2020-11-01,0.7682107523752196,0.8384673788427518,1104337.0,212753.0
2020-12-01,0.7204304729041685,0.8028191416552535,1049849.0,257854.0
2021-01-01,0.7005346557199925,0.7851247133545389,912775.0,249811.0
2021-02-01,0.773622404942534,0.8392178475375865,951715.0,182335.0
2021-03-01,0.8006659034273113,0.8613983182498302,1294748.0,208329.0
2021-04-01,0.787619934378907,0.8535662487627448,1415993.0,242921.0
2021-05-01,0.7631459744439247,0.8369499781901333,1544587.0,300908.0
2021-06-01,0.7315810690577226,0.8129722432875456,1559797.0,358838.0
2021-07-01,0.6764163269739448,0.7772118466249653,1493118.0,428003.0
2021-08-01,0.6617316078510184,0.7701669873537929,1394938.0,416277.0
2021-09-01,0.6396885676114917,0.7521863188810197,1421153.0,468210.0
2021-10-01,0.6193521830854877,0.7393421642661584,1422881.0,501642.0
2021-11-01,0.6190077721070847,0.7406114999350124,1344752.0,470980.0
2021-12-01,0.6122625579255296,0.7343175886842802,1225087.0,443247.0
2022-01-01,0.6230288342375588,0.7434936722832389,1239427.0,427604.0
2022-02-01,0.6087066726411082,0.732801260516107,1189675.0,433787.0
2022-03-01,0.5867194948048043,0.7162997854340806,1388093.0,549773.0
2022-04-01,0.5899043992982225,0.7224834728955487,1311452.0,503748.0
2022-05-01,0.6005645192656487,0.7283510115206183,1452388.0,541689.0
2022-06-01,0.587388322901579,0.7205881751332113,1409139.0,546401.0
2022-07-01,0.5714603399630294,0.7107813446396124,1384730.0,563450.0
2022-08-01,0.5804373169902456,0.7168835097825421,1274849.0,503472.0
2022-09-01,0.5689769208194445,0.7105608011045871,1273698.0,518827.0
2022-10-01,0.547996626377875,0.6952684152679852,1358170.0,595277.0
2022-11-01,0.5450484381243081,0.690121369066121,1341019.0,602145.0
2022-12-01,0.4963683545421216,0.652027207027097,1333914.0,711881.0
2023-01-01,0.5803772871380553,0.7250869765400951,1274038.0,483045.0
2023-02-01,0.5675661832357934,0.7150625021240292,1220370.0,486292.0
2023-03-01,0.5682712758639952,0.7153171060633012,1383326.0,550538.0
2023-04-01,0.609148115995484,0.7460757262902781,1353879.0,460788.0
2023-05-01,0.6038802607396869,0.740079241179036,1481444.0,520293.0
2023-06-01,0.6016591685151068,0.7338077553121992,1633255.0,592471.0
2023-07-01,0.6091079201132873,0.7403053113778744,1628514.0,571273.0
2023-08-01,0.5909392761060918,0.7303054561414235,1540843.0,569018.0
2023-09-01,0.5764536593026526,0.7169861837030183,1555893.0,614153.0
2023-10-01,0.5586747849634656,0.7031456804776292,1564021.0,660299.0
2023-11-01,0.5537168616631362,0.6981893204600145,1513384.0,654200.0
2023-12-01,0.546764242678187,0.6950631556882226,1518656.0,666262.0
2024-01-01,0.5543718592964824,0.7036490984277117,1569718.0,661107.0
2024-02-01,0.5645572043613957,0.7099241735416545,1531890.0,625932.0
